pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial_2.started,fixxation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixxation.stopped,probe.started,key_resp.started,trial_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,12,0,48,0,,,,,269.75365650001913,,269.7410416000057,269.75365650001913,270.754149400047,270.754149400047,270.754149400047,270.754149400047,270.754149400047,271.754588300013,271.754588300013,273.3748041000217,x,1,1.6038347999565303,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,12,1,49,1,,,,,273.38884040003177,,273.3755336999893,273.38884040003177,274.38928880007006,274.38928880007006,274.38928880007006,274.38928880007006,274.38928880007006,275.38877499999944,275.38877499999944,278.90974190004636,v,1,3.505391399958171,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,12,2,50,2,,,,,278.9242631000234,,278.91044020000845,278.9242631000234,279.9242436999921,279.9242436999921,279.9242436999921,279.9242436999921,279.9242436999921,280.92494180006906,280.92494180006906,281.52814359997865,c,1,0.5985921000828966,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,12,3,51,3,,,,,281.54101499996614,,281.52888360002544,281.54101499996614,282.5422553999815,282.5422553999815,282.5422553999815,282.5422553999815,282.5422553999815,283.54276480001863,283.54276480001863,284.06280569999944,z,1,0.5189142000162974,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,13,0,52,0,,,,,284.0757353999652,,284.0635036000749,284.0757353999652,285.0765066000167,285.0765066000167,285.0765066000167,285.0765066000167,285.0765066000167,286.0770293000387,286.0770293000387,287.43026330007706,x,1,1.3386004000203684,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,13,1,53,1,,,,,287.443365400075,,287.43098960001953,287.443365400075,288.4445042000152,288.4445042000152,288.4445042000152,288.4445042000152,288.4445042000152,289.44471179996617,289.44471179996617,290.26481710001826,v,1,0.8155059000710025,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,13,2,54,2,,,,,290.2782380999997,,290.26554469997063,290.2782380999997,291.2790827000281,291.2790827000281,291.2790827000281,291.2790827000281,291.2790827000281,292.27895030006766,292.27895030006766,292.8993477000622,c,1,0.617140999995172,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,13,3,55,3,,,,,292.9121754000662,,292.90009060001466,292.9121754000662,293.91256199998315,293.91256199998315,293.91256199998315,293.91256199998315,293.91256199998315,294.9134359000018,294.9134359000018,296.0838211000664,z,1,1.1618930000113323,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,14,0,56,0,,,,,296.09747729997616,,296.08456220000517,296.09747729997616,297.09763880004175,297.09763880004175,297.09763880004175,297.09763880004175,297.09763880004175,298.0985505999997,298.0985505999997,298.9691699000541,c,0,0.8545603000093251,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,14,1,57,1,,,,,298.9815497000236,,298.96987300005276,298.9815497000236,299.98243830003776,299.98243830003776,299.98243830003776,299.98243830003776,299.98243830003776,300.98270559997763,300.98270559997763,301.8691278999904,v,1,0.8742930999724194,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
